Symbol,Sep-23,Jun-23
ADANIPORTS,13.8,17
BHARTIARTL,21.9,21.5
DRREDDY,28.2,27
EICHERMOT,28.9,30.3
HDFCBANK,52.1,53.9
INFY,33.6,33.4
ITC,43.3,43.6
NTPC,16.7,15.8
ONGC,8.4,8.1
TATASTEEL,20.3,20.3
TITAN,19.1,18.5
ULTRACEMCO,16.7,15.8
UPL,33.6,38
